Rk,Player,Pos,Tm,G,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA
229,"Al Horford",C,OKC,28,782,162,360,56,152,106,208,18,22
230,"Talen Horton-Tucker",SG,LAL,65,1304,224,489,37,131,187,358,100,129
231,"Danuel House",SF,HOU,36,932,110,272,54,156,56,116,41,63
232,"Dwight Howard",C,PHI,69,1196,178,303,5,20,173,283,121,210
234,"Kevin Huerter",SG,ATL,69,2126,316,731,140,386,176,345,50,64
236,"De'Andre Hunter",SF,ATL,23,678,120,248,31,95,89,153,73,85
238,"Serge Ibaka",C,LAC,41,955,186,365,39,115,147,250,43,53
239,"Andre Iguodala",SF,MIA,63,1339,95,248,60,182,35,66,25,38
241,"Joe Ingles",SF,UTA,67,1867,275,562,183,406,92,156,76,90
242,"Brandon Ingram",SF,NOP,61,2093,513,1101,143,375,370,726,281,320
243,"Kyrie Irving",PG,BRK,54,1886,549,1086,152,378,397,708,201,218
245,"Frank Jackson",PG,DET,40,738,134,293,61,150,73,143,61,75
247,"Josh Jackson",SG,DET,62,1560,296,707,77,257,219,450,159,218
248,"Justin Jackson",SF,OKC,33,544,86,212,34,111,52,101,30,35
248,"Justin Jackson",SF,OKC,33,544,86,212,34,111,52,101,30,35
249,"Reggie Jackson",SG,LAC,67,1544,263,585,122,282,141,303,67,82
251,"LeBron James",PG,LAL,45,1504,422,823,104,285,318,538,178,255
254,"Ty Jerome",SG,OKC,33,788,128,287,71,168,57,119,26,34
257,"Cameron Johnson",PF,PHO,60,1437,203,483,117,335,86,148,50,59
258,"James Johnson",PF,NOP,22,539,79,182,16,60,63,122,28,47
258,"James Johnson",PF,DAL,29,504,67,145,15,60,52,85,17,29
258,"James Johnson",PF,NOP,22,539,79,182,16,60,63,122,28,47
258,"James Johnson",PF,DAL,29,504,67,145,15,60,52,85,17,29
259,"Keldon Johnson",SF,SAS,69,1968,338,705,60,181,278,524,145,196
260,"Stanley Johnson",PF,TOR,61,1006,89,233,45,137,44,96,44,55
261,"Tyler Johnson",SG,BRK,39,684,72,183,48,132,24,51,18,21
262,"Nikola Jokic",C,DEN,72,2488,732,1293,92,237,640,1056,342,394
264,"Derrick Jones Jr",SF,POR,58,1318,147,304,43,136,104,168,59,91
267,"Tyus Jones",PG,MEM,70,1222,178,413,45,140,133,273,41,45
268,"DeAndre Jordan",C,BRK,57,1246,190,249,0,1,190,248,46,92
269,"Cory Joseph",PG,DET,19,502,89,176,14,38,75,138,36,41
269,"Cory Joseph",PG,SAC,44,944,111,250,31,94,80,156,36,47
269,"Cory Joseph",PG,DET,19,502,89,176,14,38,75,138,36,41
269,"Cory Joseph",PG,SAC,44,944,111,250,31,94,80,156,36,47
271,"Frank Kaminsky",C,PHO,47,715,121,257,31,85,90,172,37,60
272,"Enes Kanter",C,POR,72,1758,339,561,1,4,338,557,127,164
273,"Luke Kennard",SG,LAC,63,1232,197,414,100,224,97,190,26,31
275,"Maxi Kleber",PF,DAL,50,1341,116,275,87,212,29,63,34,37
278,"John Konchar",SG,MEM,43,575,69,138,21,56,48,82,25,30
279,"Furkan Korkmaz",SG,PHI,55,1062,170,424,101,269,69,155,60,82
282,"Kyle Kuzma",SF,LAL,68,1954,335,757,137,380,198,377,67,97
284,"Jeremy Lamb",SG,IND,36,765,120,276,52,128,68,148,71,75
286,"Zach LaVine",SG,CHI,58,2034,569,1123,200,477,369,646,253,298
287,"Jake Layman",SF,MIN,45,627,91,184,23,78,68,106,26,37
290,"Damion Lee",SG,GSW,57,1079,128,274,77,194,51,80,40,44
291,"Saben Lee",PG,DET,48,781,99,210,8,23,91,187,61,89
292,"Alex Len",C,WAS,57,903,166,268,5,19,161,249,70,110
292,"Alex Len",C,WAS,57,903,166,268,5,19,161,249,70,110
293,"Kawhi Leonard",SF,LAC,52,1773,465,908,101,254,364,654,261,295
295,"Caris LeVert",SG,IND,35,1152,272,614,62,195,210,419,120,146
295,"Caris LeVert",SG,IND,35,1152,272,614,62,195,210,419,120,146
296,"Kira Lewis Jr",PG,NOP,54,904,130,337,40,120,90,217,43,51
297,"Damian Lillard",PG,POR,67,2398,602,1334,275,704,327,630,449,484
298,"Nassir Little",PF,POR,48,640,78,167,28,80,50,87,36,45
299,"Kevon Looney",C,GSW,61,1161,108,197,4,17,104,180,31,48
300,"Brook Lopez",C,MIL,70,1902,322,640,95,281,227,359,120,142
301,"Robin Lopez",C,WAS,71,1354,269,425,5,18,264,407,99,137
303,"Kevin Love",PF,CLE,25,622,103,252,57,156,46,96,42,51
304,"Kyle Lowry",PG,TOR,46,1601,260,596,131,331,129,265,140,160
305,"Timothe Luwawu-Cabarrot",SF,BRK,58,1050,130,356,75,239,55,117,35,43
309,"Theo Maledon",PG,OKC,65,1778,226,614,105,313,121,301,101,135
311,"Terance Mann",SG,LAC,67,1263,178,350,38,91,140,259,78,94
314,"Lauri Markkanen",PF,CHI,51,1317,250,521,119,296,131,225,76,92
315,"Naji Marshall",SF,NOP,32,700,82,209,29,83,53,126,53,75
316,"Caleb Martin",SF,CHO,53,818,96,256,31,125,65,131,41,64
317,"Cody Martin",SF,CHO,52,849,83,188,16,58,67,130,25,43
320,"Kenyon Martin Jr",SF,HOU,45,1068,162,318,35,96,127,222,60,84
322,"Garrison Mathews",SG,WAS,64,1038,97,237,76,198,21,39,84,95
324,"Wesley Matthews",SG,LAL,58,1130,89,252,66,197,23,55,35,41
325,"Tyrese Maxey",SG,PHI,61,935,198,429,31,103,167,326,61,70
328,"CJ McCollum",SG,POR,47,1600,405,884,169,420,236,464,108,133
329,"TJ McConnell",PG,IND,69,1796,274,490,15,48,259,442,33,48
330,"Jaden McDaniels",PF,MIN,63,1511,164,367,72,198,92,169,27,45
331,"Jalen McDaniels",SF,CHO,47,904,133,284,35,105,98,179,45,64
332,"Doug McDermott",PF,IND,66,1619,354,665,111,286,243,379,80,98
334,"JaVale McGee",C,CLE,33,503,112,215,5,20,107,195,36,55
334,"JaVale McGee",C,CLE,33,503,112,215,5,20,107,195,36,55
337,"Jordan McLaughlin",PG,MIN,51,938,100,242,33,92,67,150,23,30
338,"Ben McLemore",SG,HOU,32,537,80,224,55,166,25,58,23,32
338,"Ben McLemore",SG,HOU,32,537,80,224,55,166,25,58,23,32
340,"De'Anthony Melton",PG,MEM,52,1045,172,393,87,211,85,182,41,51
343,"Khris Middleton",SF,MIL,68,2269,511,1074,151,365,360,709,212,236
345,"Patty Mills",PG,SAS,68,1685,252,611,161,429,91,182,71,78
346,"Paul Millsap",PF,DEN,56,1162,191,401,49,143,142,258,71,98
347,"Shake Milton",SG,PHI,63,1461,300,667,71,203,229,464,146,176
348,"Donovan Mitchell",PG,UTA,53,1771,478,1091,178,461,300,630,267,316
350,"Malik Monk",SG,CHO,42,878,173,399,85,212,88,187,59,72
352,"Ja Morant",PG,MEM,63,2053,430,957,73,241,357,716,271,372
354,"Marcus Morris",PF,LAC,57,1502,276,584,140,296,136,288,73,89
355,"Markieff Morris",PF,LAL,61,1200,153,378,65,209,88,169,36,50
356,"Monte Morris",PG,DEN,47,1196,186,387,51,134,135,253,58,73
357,"Mychal Mulder",PG,GSW,60,766,119,265,85,214,34,51,14,22
358,"Dejounte Murray",PG,SAS,67,2139,441,974,63,199,378,775,106,134
359,"Jamal Murray",PG,DEN,48,1704,378,792,129,316,249,476,133,153
360,"Mike Muscala",C,OKC,35,645,119,267,68,184,51,83,33,36
361,"Sviatoslav Mykhailiuk",SG,OKC,30,690,124,283,48,143,76,140,14,20
361,"Sviatoslav Mykhailiuk",SF,DET,36,634,84,223,57,171,27,52,24,30
361,"Sviatoslav Mykhailiuk",SG,OKC,30,690,124,283,48,143,76,140,14,20
361,"Sviatoslav Mykhailiuk",SF,DET,36,634,84,223,57,171,27,52,24,30
363,"Larry Nance Jr",PF,CLE,35,1091,128,272,41,114,87,158,30,49
364,"Aaron Nesmith",SF,BOS,46,669,78,178,40,108,38,70,22,28
365,"Raul Neto",PG,WAS,64,1403,209,447,64,164,145,283,75,85
366,"Georges Niang",PF,UTA,72,1154,177,405,124,292,53,113,22,23
368,"Nerlens Noel",C,NYK,64,1547,137,223,0,3,137,220,50,70
369,"Jaylen Nowell",SG,MIN,42,759,142,335,50,150,92,185,45,55
371,"Kendrick Nunn",PG,MIA,56,1650,319,658,122,320,197,338,56,60
373,"Jusuf Nurkic",C,POR,37,880,171,333,12,30,159,303,70,113
374,"David Nwaba",SF,HOU,30,679,106,218,17,63,89,155,47,68
376,"Royce O'Neale",SF,UTA,71,2241,175,394,107,278,68,116,39,46
377,"Semi Ojeleye",PF,BOS,56,950,89,221,58,158,31,63,24,32
379,"Chuma Okeke",PF,ORL,45,1133,135,324,49,141,86,183,30,40
380,"Josh Okogie",SG,MIN,59,1197,102,254,29,108,73,146,83,108
381,"Onyeka Okongwu",C,ATL,50,601,96,149,0,3,96,146,36,57
382,"Isaac Okoro",SG,CLE,67,2173,235,559,62,214,173,345,114,157
384,"Victor Oladipo",SG,HOU,20,669,155,381,49,153,106,228,65,83
384,"Victor Oladipo",SG,HOU,20,669,155,381,49,153,106,228,65,83
384,"Victor Oladipo",SG,HOU,20,669,155,381,49,153,106,228,65,83
386,"Kelly Olynyk",PF,HOU,27,840,175,321,49,125,126,196,114,135
386,"Kelly Olynyk",C,MIA,43,1157,162,376,77,243,85,133,31,40
386,"Kelly Olynyk",PF,HOU,27,840,175,321,49,125,126,196,114,135
386,"Kelly Olynyk",C,MIA,43,1157,162,376,77,243,85,133,31,40
387,"Miye Oni",SG,UTA,54,519,35,99,30,88,5,11,5,6
388,"Cedi Osman",SF,CLE,59,1510,219,586,99,324,120,262,76,95
390,"Kelly Oubre Jr",SF,GSW,55,1687,318,724,90,285,228,439,123,177
392,"Eric Paschall",PF,GSW,40,695,148,298,18,54,130,244,67,94
394,"Patrick Patterson",PF,LAC,38,582,72,165,40,112,32,53,13,17
396,"Chris Paul",PG,PHO,70,2199,439,879,102,258,337,621,169,181
397,"Cameron Payne",PG,PHO,60,1079,191,395,73,166,118,229,50,56
398,"Elfrid Payton",PG,NYK,63,1484,269,622,28,98,241,524,73,107
403,"Mason Plumlee",C,DET,56,1499,234,381,0,7,234,374,113,169
406,"Aleksej Pokusevski",PF,OKC,45,1090,139,408,58,207,81,201,31,42
407,"Jordan Poole",SG,GSW,51,988,205,474,97,276,108,198,105,119
409,"Kevin Porter Jr",SG,HOU,26,835,156,367,50,161,106,206,69,94
410,"Michael Porter Jr",SF,DEN,61,1912,443,817,170,382,273,435,106,134
411,"Otto Porter",SF,CHI,25,540,89,202,38,95,51,107,31,37
411,"Otto Porter",SF,CHI,25,540,89,202,38,95,51,107,31,37
412,"Bobby Portis",C,MIL,66,1372,313,598,74,157,239,441,54,73
413,"Kristaps Porzingis",C,DAL,43,1327,325,683,97,258,228,425,118,138
414,"Dwight Powell",C,DAL,58,966,120,194,5,21,115,173,97,124
415,"Norman Powell",SF,POR,27,928,156,352,53,147,103,205,95,108
415,"Norman Powell",SG,TOR,42,1277,282,566,118,269,164,297,141,163
415,"Norman Powell",SF,POR,27,928,156,352,53,147,103,205,95,108
415,"Norman Powell",SG,TOR,42,1277,282,566,118,269,164,297,141,163
416,"Taurean Prince",PF,CLE,29,687,101,253,49,118,52,135,41,49
416,"Taurean Prince",PF,CLE,29,687,101,253,49,118,52,135,41,49
417,"Payton Pritchard",SG,BOS,66,1268,184,418,102,248,82,170,40,45
418,"Immanuel Quickley",PG,NYK,64,1243,229,580,118,303,111,277,155,174
420,"Chasson Randle",PG,ORL,41,837,92,237,44,130,48,107,38,48
421,"Julius Randle",PF,NYK,71,2667,602,1321,160,389,442,932,348,429
422,"Cam Reddish",SF,ATL,26,750,96,263,33,126,63,137,67,82
423,"JJ Redick",SG,NOP,31,576,87,214,51,140,36,74,45,47
423,"JJ Redick",SG,NOP,31,576,87,214,51,140,36,74,45,47
425,"Naz Reid",C,MIN,70,1347,304,581,61,174,243,407,115,166
428,"Josh Richardson",SG,DAL,59,1790,264,618,88,267,176,351,99,108
432,"Duncan Robinson",SF,MIA,72,2262,315,717,250,613,65,104,62,75
437,"Isaiah Roby",PF,OKC,61,1425,207,429,32,109,175,320,87,117
439,"Derrick Rose",PG,NYK,35,937,208,427,37,90,171,337,68,77
439,"Derrick Rose",PG,NYK,35,937,208,427,37,90,171,337,68,77
440,"Terrence Ross",SG,ORL,46,1347,254,616,89,264,165,352,120,138
441,"Terry Rozier",SG,CHO,69,2383,510,1134,222,571,288,563,165,202
442,"Ricky Rubio",PG,MIN,68,1772,193,498,66,214,127,284,130,150
443,"D'Angelo Russell",PG,MIN,42,1196,281,652,120,310,161,342,114,149
444,"Domantas Sabonis",PF,IND,62,2231,484,904,52,162,432,742,240,328
447,"Dario Saric",C,PHO,50,871,153,342,47,135,106,207,84,99
448,"Tomas Satoransky",SG,CHI,58,1307,169,329,42,118,127,211,67,79
449,"Dennis Schroder",SG,LAL,61,1956,332,760,71,212,261,548,206,243
450,"Mike Scott",PF,PHI,51,852,76,211,53,155,23,56,8,12
452,"Collin Sexton",SG,CLE,60,2115,525,1105,98,264,427,841,312,383
453,"Landry Shamet",SG,BRK,61,1403,186,456,129,333,57,123,66,78
455,"Pascal Siakam",PF,TOR,56,2006,437,961,73,246,364,715,249,301
457,"Ben Simmons",PG,PHI,58,1877,325,583,3,10,322,573,176,287
458,"Anfernee Simons",SG,POR,64,1104,168,401,120,282,48,119,46,57
461,"Marcus Smart",PG,BOS,48,1581,203,510,93,282,110,228,128,162
463,"Ish Smith",PG,WAS,44,924,129,297,18,49,111,248,19,33
465,"Tony Snell",SG,ATL,47,992,88,171,62,109,26,62,11,11
469,"Isaiah Stewart",C,DET,68,1455,226,409,21,63,205,346,64,92
470,"Max Strus",SF,MIA,39,507,85,187,50,148,35,39,16,24
471,"Edmond Sumner",SG,IND,53,861,148,282,35,88,113,194,68,83
472,"Jae'Sean Tate",SF,HOU,70,2043,316,625,60,195,256,430,102,147
473,"Jayson Tatum",SF,BOS,64,2290,605,1318,187,485,418,833,295,340
474,"Jeff Teague",PG,BOS,34,616,78,188,26,56,52,132,51,61
474,"Jeff Teague",PG,BOS,34,616,78,188,26,56,52,132,51,61
